Username,Bet Type,Bet Value,Bet Amount,Result,Net Gain,Balance After
theadmin,color,Black,50,Loss,-50,50
theadmin,color,Red,10,Loss,-10,90
theadmin,color,Red,100,Loss,-100,90
theadmin,color,Red,45,Win,45,135
theadmin,color,Red,135,Loss,-135,0
theadmin,color,Red,100,Loss,-100,0
theadmin,color,Red,100,Loss,-100,0
alex1,color,Red,15,Loss,-15,237
alex1,color,Red,15,Win,15,252
